MAS: Financial Database - Exchange Rates,,,,,https://secure.mas.gov.sg/msb/ExchangeRates.aspx,,,,
,,,,,,,,,
Exchange Rates (Daily),,,,,,,,,
Jan 1988 to May 2014,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
,,10,2.113,3.0982,1.6439,21.08,43.26,3.0336,4.1606
,,11,2.1162,3.0951,1.6443,21.08,43.27,3.0377,4.1666
,,12,2.1103,3.0872,1.6478,21.13,43.36,3.0404,4.1805
,,13,2.097,3.0848,1.6543,21.21,43.53,3.0493,4.1864
,,16,2.0916,3.0667,1.6601,21.29,43.69,3.0514,4.179
,,17,2.092,3.0435,1.6568,21.24,43.6,3.047,4.1612
,,18,2.0913,3.0396,1.6584,21.26,43.64,3.0443,4.1473
,,19,2.098,3.0468,1.654,21.22,43.53,3.029,4.149
,,20,2.0947,3.0425,1.6567,21.26,43.6,3.0294,4.1433
,,24,2.0829,3.0311,1.6574,21.29,43.62,3.0314,4.1394
,,25,2.0834,3.0284,1.6547,21.28,43.54,3.0412,4.1373
,,26,2.0908,3.0391,1.6596,21.33,43.67,3.0464,4.1304
,,27,2.076,3.0232,1.6586,21.32,43.65,3.0461,4.1008
,,30,2.0796,3.0271,1.6585,21.32,43.64,3.0507,4.1098
,,31,2.0625,3.0177,1.6638,21.39,43.78,3.0554,4.1097
,Jun,1,2.0517,3.0323,1.6658,21.41,43.84,3.0558,4.0939
,,2,2.043,3.0305,1.6733,21.5,44.03,3.0646,4.1142
,,3,2.0518,3.036,1.6691,21.45,43.92,3.0632,4.0983
,,6,2.0429,3.0287,1.6662,21.41,43.85,3.0587,4.0913
,,7,2.0387,3.0322,1.6636,21.38,43.78,3.0488,4.1006
,,8,2.0429,3.0487,1.66,21.33,43.68,3.0402,4.0976
,,9,2.0333,3.0354,1.6615,21.35,43.72,3.0261,4.0858
,,10,2.0388,3.0369,1.6665,21.42,43.86,3.0308,4.0946
,,13,2.0223,3.0256,1.6717,21.49,43.99,3.0395,4.0993
,,14,2.0326,3.0255,1.6748,21.54,44.07,3.0261,4.0924
,,15,2.0186,3.0285,1.6757,21.55,44.1,3.0247,4.0936
,,16,2.0196,3.0434,1.6736,21.52,44.04,3.0241,4.0883
,,17,2.0246,3.0477,1.6724,21.51,44.01,3.0136,4.0716
,,20,2.0419,3.0494,1.6691,21.47,43.92,3.0002,4.0621
,,21,2.035,3.0557,1.6757,21.56,44.1,3.0014,4.0697
,,22,2.0336,3.0537,1.6713,21.51,43.98,3.0053,4.063
,,23,2.0255,3.0434,1.6703,21.5,43.96,2.9951,4.065
,,24,2.0139,3.0428,1.6757,21.56,44.1,3.004,4.0711
,,27,2.0309,3.0544,1.6748,21.55,44.07,3.0152,4.0754
,,28,2.0408,3.0637,1.6785,21.6,44.17,3.0175,4.0785
,,29,2.0306,3.059,1.6832,21.66,44.29,3.0145,4.0804
,,30,2.035,3.0425,1.6832,21.66,44.29,2.9956,4.0765
,Jul,1,2.0363,3.016,1.6846,21.67,44.33,3.0147,4.0834
,,4,2.0193,2.9823,1.695,21.8,44.6,3.0218,4.0882
,,5,2.0187,2.9847,1.6946,21.8,44.59,3.0172,4.0873
,,6,2.022,2.9814,1.6971,21.83,44.66,3.0215,4.0864
,,7,2.0254,2.9735,1.6991,21.86,44.71,3.0217,4.0731
,,8,2.0299,2.9631,1.7009,21.88,44.76,3.0216,4.0472
,,11,2.0352,2.9559,1.6962,21.81,44.64,3.0187,4.0381
,,12,2.0554,2.9851,1.692,21.75,44.53,3.0135,4.0367
,,13,2.061,2.9939,1.6868,21.69,44.39,3.0036,4.0329
,,14,2.04,2.98,1.6906,21.73,44.49,3.0197,4.0358
,,15,2.0439,2.9749,1.6897,21.73,44.47,3.0226,4.0414
,,18,2.0328,2.9589,1.6875,21.7,44.41,3.031,4.0385
,,19,2.0312,2.9459,1.6858,21.68,44.36,3.0267,4.0292
,,20,2.0449,2.9385,1.6926,21.76,44.54,3.026,4.0204
,,21,2.0478,2.9363,1.6836,21.65,44.31,3.0186,4.0177
,,22,2.0236,2.9143,1.6624,21.39,43.95,2.9875,4.0101
,,25,1.9993,2.8809,1.6587,21.34,44.11,2.9752,4.0138
,,26,2.0034,2.9001,1.6645,21.41,44.37,2.9763,4.0079
,,27,2.0081,2.9029,1.6715,21.49,44.57,2.9772,4.0022
,,28,2.0099,2.9012,1.6649,21.41,44.4,2.9695,3.9867
,,29,2.0153,2.916,1.6621,21.38,44.32,2.9576,3.9776
,Aug,1,2.0245,2.9278,1.6615,21.37,44.31,2.9576,3.9872
,,2,2.0267,2.9381,1.6586,21.34,44.28,2.9569,4.0057
,,3,2.0149,2.926,1.6566,21.31,44.22,2.9521,4.0018
,,4,2.0325,2.9313,1.6487,21.21,44.01,2.9485,4.0069
,,5,2.0447,2.9402,1.6543,21.28,44.03,2.9561,4.0061
,,8,2.0424,2.9384,1.6558,21.3,44.15,2.9564,4.0154
,,10,2.0395,2.9505,1.6501,21.23,44.04,2.9544,4.0216
,,11,2.0425,2.9604,1.645,21.17,43.89,2.9512,4.0303
,,12,2.0534,2.9821,1.6477,21.21,43.89,2.9603,4.035
,,15,2.0535,2.9978,1.6532,21.28,44.03,2.9617,4.0335
,,16,2.0454,2.9957,1.6586,21.35,44.07,2.9736,4.0359
,,17,2.0469,3.0011,1.6597,21.36,44.06,2.9724,4.0239
,,18,2.0403,2.9989,1.6602,21.37,44.05,2.971,4.0291
,,19,2.0294,2.9899,1.6677,21.46,44.27,2.9787,4.0369
,,22,2.0312,2.9993,1.6676,21.46,44.28,2.9833,4.052
,,23,2.0358,3.0005,1.6677,21.46,44.24,2.9814,4.0719
,,24,2.0448,3.0053,1.6745,21.54,44.42,2.989,4.0686
,,25,2.0567,3.0197,1.6718,21.51,44.35,2.9819,4.067
,,26,2.0596,3.0175,1.6741,21.54,44.41,2.9851,4.0717
,,29,2.0635,3.0233,1.675,21.56,44.45,2.9923,4.0649
,,30,2.0549,3.0184,1.6832,21.66,44.65,2.9959,4.0705
,,31,2.0595,3.0088,1.6841,21.67,44.65,2.9933,4.0742
,Sep,1,2.0763,3.0325,1.6831,21.65,44.63,2.9957,4.0895
,,2,2.0896,3.0663,1.6745,21.56,44.49,2.9826,4.0756
,,5,2.1027,3.0909,1.672,21.52,44.47,2.9788,4.0864
,,6,2.0917,3.083,1.6748,21.56,44.48,2.9806,4.0818
,,7,2.0927,3.0836,1.6765,21.58,44.48,2.9871,4.0776
,,8,2.0844,3.0813,1.677,21.59,44.49,2.9909,4.0927
,,9,2.0847,3.0841,1.6782,21.61,44.52,2.9915,4.0896
,,12,2.0652,3.0745,1.6746,21.57,44.43,2.9901,4.0974
,,13,2.0641,3.0573,1.6783,21.62,44.53,2.9975,4.1029
,,14,2.0631,3.0655,1.678,21.62,44.53,3.0029,4.0996
,,15,2.0535,3.0537,1.6798,21.65,44.57,2.9979,4.0996
,,16,2.0584,3.0376,1.6793,21.64,44.55,2.9921,4.0954
,,19,2.0464,3.0354,1.6818,21.67,44.61,2.9887,4.0943
,,20,2.0419,3.0287,1.6786,21.63,44.53,2.9829,4.088
,,21,2.0464,3.031,1.6822,21.67,44.63,2.9896,4.0933
,,22,2.0508,3.0351,1.6798,21.65,44.56,2.9852,4.0926
,,23,2.0458,3.0158,1.6825,21.69,44.63,2.9911,4.0977
,,26,2.0302,2.9928,1.6863,21.73,44.73,2.9966,4.0933
,,27,2.0349,2.9939,1.6913,21.8,44.86,3.0033,4.0966
,,28,2.0353,2.9931,1.6919,21.81,44.88,3.0132,4.1046
,,29,2.037,2.9876,1.6885,21.76,44.78,3.0117,4.1062
,,30,2.0354,2.9765,1.6891,21.77,44.81,3.0143,4.1221
,Oct,3,2.0252,2.9776,1.6952,21.85,44.97,3.0255,4.1221
,,4,2.0197,2.9735,1.693,21.82,44.9,3.0262,4.1212
,,5,2.0206,2.9827,1.6921,21.82,44.86,3.0254,4.122
,,6,2.0336,2.9904,1.6869,21.75,44.72,3.0236,4.1193
,,7,2.0468,2.9873,1.6822,21.69,44.63,3.0104,4.1185
,,10,2.0412,2.9631,1.6839,21.71,44.65,3.0213,4.1262
,,11,2.0292,2.9553,1.6865,21.74,44.71,3.0231,4.1233
,,12,2.0255,2.9516,1.6914,21.8,44.84,3.0286,4.1254
,,13,2.0301,2.9592,1.6942,21.84,44.92,3.0317,4.1327
,,14,2.0344,2.9667,1.6903,21.79,44.79,3.027,4.1358
,,17,2.0423,2.9865,1.6865,21.74,44.69,3.0227,4.1331
,,18,2.0312,2.9649,1.6929,21.82,44.86,3.0376,4.1415
,,19,2.0224,2.961,1.6954,21.85,44.92,3.0416,4.1503
,,20,2.0281,2.9851,1.6956,21.85,44.92,3.0405,4.1427
,,21,2.0387,3.0059,1.6923,21.82,44.84,3.0418,4.1412
,,24,2.0241,2.9962,1.6965,21.87,44.94,3.0637,4.1434
,,25,2.0277,2.9919,1.693,21.83,44.85,3.0593,4.1394
,,26,2.0451,3.0141,1.6896,21.79,44.76,3.0717,4.1397
,,27,2.0474,3.0141,1.6901,21.79,44.77,3.0696,4.1409
,,28,2.0482,3.0079,1.687,21.76,44.69,3.0646,4.1389
,,31,2.0398,3.0031,1.6919,21.82,44.82,3.0734,4.1494
,Nov,2,2.0393,2.9937,1.6945,21.86,44.87,3.0936,4.1537
,,4,2.0292,3.0042,1.6995,21.92,45,3.0872,4.1583
,,7,2.0095,2.9762,1.6999,21.92,45,3.1005,4.1466
,,8,1.9955,2.9582,1.7016,21.95,45.05,3.1179,4.1376
,,9,2.0015,2.9647,1.7015,21.94,45.05,3.1157,4.1243
,,10,2.0014,2.9645,1.7017,21.94,45.04,3.1077,4.1268
,,11,1.99,2.9661,1.7017,21.94,45.03,3.123,4.1349
,,14,1.9982,2.9655,1.7015,21.94,45.03,3.1152,4.1359
,,15,1.9937,2.9629,1.7046,21.97,45.1,3.1217,4.1384
,,16,1.9949,2.9532,1.7023,21.95,45.03,3.1158,4.1333
,,17,1.9869,2.9235,1.7017,21.94,45.03,3.1299,4.1318
,,18,1.9951,2.9211,1.7013,21.94,45.01,3.1234,4.1299
,,21,2.0034,2.922,1.7007,21.93,44.99,3.1113,4.1229
,,22,1.9936,2.9181,1.7003,21.93,44.98,3.1198,4.1259
,,23,2.0012,2.9169,1.6952,21.86,44.85,3.1166,4.1181
,,24,2.0004,2.9167,1.6927,21.83,44.78,3.1223,4.1095
,,25,1.9921,2.9145,1.6917,21.81,44.76,3.1192,4.1046
,,28,1.9833,2.9022,1.6964,21.88,44.88,3.1313,4.1125
,,29,1.9991,2.9143,1.6917,21.82,44.75,3.1336,4.1016
,,30,1.9946,2.9094,1.6922,21.82,44.79,3.1273,4.1063
,Dec,1,1.9932,2.9243,1.6912,21.81,44.77,3.1216,4.1044
,,2,1.9848,2.9289,1.6922,21.82,44.77,3.126,4.085
,,5,1.9758,2.9235,1.6896,21.79,44.69,3.1257,4.0787
,,6,1.985,2.9327,1.6846,21.72,44.56,3.1159,4.0715
,,7,1.9845,2.9307,1.6855,21.74,44.59,3.1265,4.0801
,,8,1.976,2.925,1.6854,21.73,44.68,3.1377,4.0833
,,9,1.9882,2.9483,1.6831,21.7,44.69,3.1463,4.0802
,,12,1.9926,2.9631,1.6832,21.71,44.58,3.1391,4.076
,,13,2.0066,2.9796,1.6773,21.63,44.46,3.1238,4.0746
,,14,2.0077,2.9638,1.6707,21.55,44.24,3.1192,4.0679
,,15,1.9988,2.9567,1.6693,21.53,44.19,3.1319,4.0764
,,16,1.9944,2.9433,1.6688,21.52,44.16,3.1245,4.0772
,,19,2.0002,2.9491,1.6656,21.48,44.07,3.125,4.0694
,,20,1.9924,2.9242,1.6627,21.45,43.99,3.1055,4.0643
,,21,1.9791,2.9268,1.6672,21.5,44.11,3.1128,4.0723
,,22,1.9754,2.9126,1.6697,21.54,44.18,3.1368,4.0774
,,23,1.9832,2.9029,1.6695,21.53,44.17,3.1346,4.0789
,,27,1.9735,2.8857,1.6668,21.5,44.1,3.131,4.0698
,,28,1.9748,2.8837,1.6665,21.49,44.09,3.1411,4.0656
,,29,1.9737,2.8679,1.6661,21.49,44.08,3.1388,4.0696
,,30,1.9754,2.8717,1.6642,21.46,44.03,3.137,4.0526
,,,,,,,,,
"* Yearly, monthly and weekly figures are end period values.",,,,,,,,,
* Daily figures are values as of noon.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
2006,Jan,3,1.9675,2.8638,1.6574,21.38,43.86,3.1472,4.0484
,,4,1.9883,2.8863,1.6476,21.25,43.65,3.1422,4.0606
,,5,1.9923,2.8927,1.6465,21.23,43.72,3.1368,4.078
,,6,1.9923,2.8898,1.6479,21.25,43.88,3.1272,4.0962
,,9,1.985,2.8924,1.6347,21.09,43.61,3.1152,4.1052
,,11,1.9757,2.8855,1.6366,21.11,43.65,3.1089,4.1043
,,12,1.9738,2.8704,1.6247,20.96,43.42,3.0988,4.1199
,,13,1.9636,2.87,1.6308,21.04,43.58,3.109,4.1265
,,16,1.9757,2.8891,1.6254,20.97,43.5,3.096,4.1123
,,17,1.9766,2.8836,1.6321,21.05,43.53,3.1021,4.1075
,,18,1.9766,2.8821,1.6333,21.06,43.5,3.0948,4.1229
,,19,1.9726,2.8719,1.6313,21.04,43.45,3.0872,4.1283
,,20,1.9717,2.8667,1.6325,21.05,43.56,3.087,4.1413
,,23,1.9874,2.8912,1.6217,20.91,43.25,3.0705,4.1555
,,24,1.9927,2.8947,1.6223,20.92,43.28,3.0743,4.1306
,,25,1.9915,2.8936,1.6235,20.93,43.29,3.0859,4.1284
,,26,1.9858,2.8938,1.6209,20.9,43.25,3.0886,4.1604
,,27,1.984,2.8932,1.6244,20.94,43.31,3.0969,4.1678
,Feb,1,1.9713,2.8865,1.6231,20.92,43.28,3.1158,4.1634
,,2,1.9695,2.8955,1.6317,21.03,43.48,3.1301,4.133
,,3,1.9741,2.906,1.6326,21.05,43.51,3.1425,4.1447
,,6,1.9552,2.8642,1.627,20.97,43.49,3.1449,4.1342
,,7,1.954,2.8547,1.6319,21.03,43.69,3.1543,4.1137
,,8,1.953,2.8464,1.6309,21.01,43.67,3.1494,4.1044
,,9,1.9533,2.8446,1.6321,21.03,43.76,3.1456,4.1147
,,10,1.9539,2.8435,1.6299,21,43.75,3.1624,4.1232
,,13,1.9379,2.8376,1.6292,20.99,43.76,3.1581,4.1445
,,14,1.9382,2.8358,1.6283,20.98,43.74,3.1599,4.1375
,,15,1.9428,2.829,1.6293,20.99,43.77,3.1606,4.139
,,16,1.9376,2.8379,1.631,21.01,43.8,3.155,4.1349
,,17,1.9439,2.8386,1.636,21.08,43.94,3.1591,4.1591
,,20,1.9499,2.8435,1.6301,21.01,43.83,3.1401,4.1431
,,21,1.9439,2.8414,1.63,21,43.81,3.1376,4.1365
,,22,1.9421,2.844,1.6294,20.99,43.81,3.1504,4.1256
,,23,1.9404,2.8412,1.6313,21.02,43.86,3.1514,4.1252
,,24,1.9396,2.8501,1.6264,20.96,43.78,3.1229,4.1232
,,27,1.926,2.8322,1.6233,20.92,43.71,3.1187,4.1248
,,28,1.9271,2.8283,1.6247,20.94,43.75,3.141,4.1294
,Mar,1,1.9357,2.8435,1.6197,20.88,43.64,3.1444,4.1488
,,2,1.9303,2.8326,1.619,20.87,43.65,3.1584,4.1593
,,3,1.9464,2.8361,1.6196,20.87,43.71,3.1639,4.1877
,,6,1.9593,2.8551,1.6233,20.92,43.8,3.1753,4.1768
,,7,1.9511,2.843,1.6265,20.96,43.85,3.1949,4.1908
,,8,1.9404,2.8341,1.6314,21.02,43.9,3.1786,4.1617
,,9,1.9465,2.832,1.6317,21.02,43.8,3.1639,4.163
,,10,1.9407,2.8292,1.6299,21,43.77,3.1667,4.1595
,,13,1.9446,2.811,1.6277,20.97,43.77,3.1712,4.1592
,,14,1.9446,2.8196,1.6252,20.95,43.7,3.1742,4.1496
,,15,1.9504,2.8343,1.6222,20.91,43.75,3.177,4.1388
,,16,1.9517,2.8273,1.6183,20.86,43.7,3.1691,4.1405
,,17,1.9694,2.8417,1.618,20.85,43.68,3.1682,4.1455
,,20,1.9689,2.8377,1.617,20.84,43.67,3.1656,4.1627
,,21,1.9618,2.8333,1.616,20.83,43.69,3.1606,4.1644
,,22,1.9579,2.8288,1.6193,20.87,43.86,3.163,4.1579
,,23,1.9499,2.8206,1.6174,20.84,43.83,3.1611,4.1456
,,24,1.94,2.8126,1.6207,20.89,43.84,3.1642,4.1402
,,27,1.9472,2.8222,1.6163,20.83,43.77,3.1593,4.1513
,,28,1.9437,2.8258,1.6192,20.87,43.83,3.1656,4.1625
,,29,1.946,2.8261,1.6211,20.89,43.86,3.164,4.1572
,,30,1.9543,2.8179,1.6206,20.88,43.87,3.1588,4.1677
,,31,1.9683,2.8247,1.6183,20.85,43.9,3.1645,4.165
,Apr,3,1.9519,2.8026,1.617,20.84,43.92,3.165,4.1552
,,4,1.9613,2.8081,1.6156,20.82,43.89,3.1688,4.172
,,5,1.9694,2.8204,1.6048,20.68,43.69,3.1485,4.1906
,,6,1.9741,2.8156,1.6065,20.7,43.76,3.1414,4.2016
,,7,1.958,2.8114,1.6048,20.69,43.73,3.1402,4.1956
,,10,1.9432,2.7983,1.6038,20.68,43.72,3.1376,4.2178
,,11,1.9508,2.8074,1.6112,20.77,43.92,3.1469,4.2456
,,12,1.9593,2.821,1.611,20.77,43.93,3.1453,4.24
,,13,1.9484,2.819,1.6093,20.74,43.76,3.1395,4.2189
,,17,1.953,2.8174,1.6029,20.66,43.67,3.1246,4.2254
,,18,1.9662,2.8401,1.6031,20.66,43.68,3.1155,4.2254
,,19,1.9746,2.8483,1.5989,20.62,43.59,3.1075,4.2338
,,20,1.9756,2.8595,1.5988,20.62,43.63,3.1111,4.2358
,,21,1.9674,2.8443,1.5982,20.61,43.64,3.0913,4.2219
,,24,1.9652,2.8425,1.592,20.53,43.59,3.0778,4.2189
,,25,1.9649,2.8366,1.5878,20.48,43.58,3.0607,4.2257
,,26,1.9757,2.8428,1.5911,20.52,43.66,3.0654,4.2171
,,27,1.976,2.8332,1.5868,20.46,43.69,3.0624,4.2191
,,28,1.983,2.851,1.5831,20.42,43.67,3.0568,4.2165
,May,2,1.9883,2.8816,1.58,20.38,43.71,3.0629,4.1993
,,3,1.99,2.9006,1.5735,20.29,43.6,3.0622,4.1921
,,4,1.9875,2.896,1.5759,20.33,43.61,3.0606,4.1619
,,5,2.0031,2.9212,1.578,20.36,43.75,3.0611,4.1729
,,8,1.9912,2.9119,1.5648,20.18,43.51,3.0461,4.1689
,,9,1.9953,2.917,1.5716,20.27,43.7,3.057,4.1698
,,10,1.9989,2.9232,1.5664,20.21,43.71,3.0362,4.1643
,,11,1.9998,2.9135,1.5696,20.25,43.81,3.0404,4.1573
,,15,2.0287,2.9752,1.5696,20.24,43.57,3.0124,4.1403
,,16,2.0299,2.9817,1.5814,20.4,43.74,3.0228,4.1382
,,17,2.0236,2.9735,1.5717,20.27,43.83,3.0164,4.142
,,18,2.0148,2.9756,1.5789,20.36,43.67,3.0006,4.1354
,,19,2.0286,2.9889,1.5811,20.39,43.74,3.0042,4.1515
,,22,2.0287,2.9808,1.5911,20.52,43.78,3.0117,4.1549
,,23,2.0361,2.9828,1.5827,20.41,43.61,3.0061,4.1351
,,24,2.0327,2.9871,1.5894,20.49,43.63,3.0038,4.1267
,,25,2.0229,2.9641,1.5861,20.45,43.45,2.998,4.1386
,,26,2.0166,2.9511,1.5788,20.36,43.31,2.9863,4.1292
,,29,2.012,2.9359,1.5788,20.36,43.43,2.9879,4.1308
,,30,2.0215,2.9476,1.5783,20.35,43.58,2.998,4.1301
,,31,2.0282,2.9674,1.5764,20.32,43.44,2.9839,4.1305
,Jun,1,2.0179,2.9485,1.5807,20.37,43.46,2.987,4.1374
,,2,2.0248,2.948,1.5803,20.37,43.44,2.9913,4.1331
,,5,2.0368,2.9648,1.5734,20.28,43.29,2.9861,4.1302
,,6,2.0351,2.9534,1.5787,20.35,43.33,2.9885,4.1354
,,7,2.0307,2.9485,1.5825,20.39,43.31,2.9918,4.1313
,,8,2.0291,2.946,1.5871,20.45,43.28,2.9962,4.1315
,,9,2.012,2.9336,1.592,20.51,43.4,2.9908,4.1426
,,12,2.011,2.9347,1.5925,20.52,43.35,2.9979,4.1417
,,13,2.0114,2.9437,1.5989,20.6,43.38,3.0001,4.1568
,,14,2.0062,2.9341,1.5987,20.59,43.34,2.9972,4.1519
,,15,2.0085,2.9373,1.5934,20.53,43.52,2.9979,4.1468
,,16,2.0075,2.94,1.5873,20.45,43.57,2.9929,4.1406
,,19,2.0098,2.9455,1.5975,20.57,43.6,2.9975,4.1537
,,20,2.0056,2.9374,1.5957,20.55,43.46,2.9893,4.1549
,,21,2.0057,2.9342,1.5894,20.46,43.43,2.9868,4.1461
,,22,2.0129,2.9333,1.5885,20.46,43.41,2.9838,4.1481
,,23,2.0053,2.9168,1.5952,20.54,43.39,2.9943,4.1495
,,26,2.0017,2.9088,1.5992,20.59,43.29,2.9955,4.1565
,,27,2.0114,2.9129,1.596,20.55,43.35,2.9876,4.1546
,,28,2.0075,2.9096,1.5963,20.55,43.34,2.9835,4.1527
,,29,2.0051,2.904,1.5983,20.58,43.34,2.9816,4.1563
,,30,2.0198,2.9132,1.5894,20.46,43.25,2.9862,4.1558
,Jul,3,2.0235,2.9223,1.5826,20.38,43.23,2.9815,4.1554
,,4,2.0245,2.9152,1.5809,20.35,43.31,2.9981,4.1663
,,5,2.0226,2.9161,1.5815,20.36,43.41,2.9992,4.1629
,,6,2.0184,2.9096,1.5852,20.4,43.26,3.0028,4.1421
,,7,2.0187,2.9032,1.5806,20.34,43.23,3.0058,4.1502
,,10,2.0142,2.9121,1.5741,20.26,43.27,3.0184,4.161
,,11,2.0095,2.9077,1.5772,20.29,43.21,3.0235,4.1681
,,12,2.0147,2.9129,1.5787,20.3,43.23,3.024,4.1709
,,13,2.0111,2.9045,1.5819,20.34,43.2,3.0305,4.1739
,,14,2.0116,2.9213,1.5862,20.4,43.16,3.0251,4.1852
,,17,2.0084,2.9213,1.5908,20.46,43.18,3.0203,4.1704
,,18,1.9955,2.899,1.5926,20.49,43.19,3.0229,4.1707
,,19,1.99,2.9078,1.592,20.47,43.18,3.0217,4.1697
,,20,2.0018,2.9294,1.5875,20.42,43.12,3.0313,4.1732
,,21,2.0048,2.9315,1.5852,20.39,43.02,3.0327,4.165
,,24,2.0058,2.9392,1.585,20.38,42.98,3.0396,4.1705
,,25,2.0007,2.9269,1.5852,20.38,42.94,3.0526,4.1727
,,26,1.9942,2.9188,1.5852,20.38,42.98,3.0449,4.1721
,,27,2.0078,2.9264,1.5786,20.3,42.98,3.0555,4.1668
,,28,2.005,2.9361,1.58,20.33,43.02,3.065,4.1782
,,31,2.0147,2.9437,1.5777,20.3,43.18,3.0692,4.1705
,Aug,1,2.0116,2.9421,1.5777,20.3,43.05,3.0564,4.1611
,,2,2.0254,2.9649,1.5789,20.31,43.03,3.0629,4.1704
,,3,2.0147,2.9634,1.5798,20.32,42.94,3.0601,4.165
,,4,2.0184,2.9742,1.577,20.29,42.86,3.0595,4.1637
,,7,2.0239,2.9961,1.5717,20.22,42.96,3.0599,4.1662
,,8,2.0176,2.9969,1.5734,20.23,42.91,3.0641,4.1691
,,10,2.0235,2.9946,1.5708,20.2,42.87,3.0605,4.186
,,11,2.0115,2.9828,1.5753,20.26,42.86,3.0699,4.2115
,,14,2.0125,2.99,1.5789,20.3,42.85,3.0775,4.2217
,,15,2.0141,2.9894,1.5812,20.33,42.95,3.0748,4.2318
,,16,2.0172,2.9876,1.5778,20.29,42.86,3.0717,4.2204
,,17,2.0241,2.988,1.5748,20.25,42.82,3.0776,4.1889
,,18,2.02,2.9703,1.5749,20.26,42.84,3.0778,4.1819
,,21,2.0247,2.966,1.572,20.22,42.84,3.0745,4.1948
,,22,2.0259,2.9775,1.5735,20.24,42.81,3.0687,4.1843
,,23,2.0141,2.9723,1.5745,20.24,42.86,3.0653,4.1869
,,24,2.0141,2.9847,1.5776,20.29,42.88,3.0571,4.1874
,,25,2.0149,2.9776,1.5772,20.28,42.92,3.0658,4.1863
,,28,2.0203,2.9845,1.5786,20.29,42.87,3.0772,4.1845
,,29,2.0182,2.9881,1.5745,20.24,42.79,3.0767,4.1881
,,30,2.0182,2.9866,1.5728,20.22,42.77,3.0882,4.1885
,,31,2.0174,2.9951,1.5729,20.22,42.73,3.095,4.186
,Sep,1,2.0134,2.993,1.5722,20.21,42.73,3.0979,4.1886
,,4,2.0192,2.9949,1.5703,20.19,42.92,3.1077,4.2003
,,5,2.0138,2.9867,1.5689,20.17,42.9,3.1009,4.1977
,,6,2.0108,2.9731,1.5685,20.17,43,3.109,4.1967
,,7,2.0112,2.9564,1.5678,20.16,42.99,3.115,4.192
,,8,1.9965,2.9404,1.5692,20.18,42.94,3.1129,4.1974
,,11,1.9931,2.9335,1.5726,20.22,42.86,3.1153,4.2009
,,12,2.0035,2.9442,1.5756,20.25,42.87,3.1185,4.2111
,,13,2.0024,2.9557,1.5783,20.29,42.98,3.1266,4.2184
,,14,2.0001,2.9583,1.5761,20.25,42.93,3.1331,4.2204
,,15,2.0104,2.9819,1.5804,20.31,43.01,3.1444,4.2353
,,18,2.0063,2.9803,1.5846,20.36,43.08,3.1534,4.246
,,19,2.0212,2.9908,1.5891,20.41,43.12,3.1712,4.2575
,,20,2.0133,2.9914,1.5879,20.39,43.07,3.1581,4.2153
,,21,2.0126,2.992,1.582,20.32,43.09,3.158,4.2086
,,22,2.026,3.0132,1.5838,20.35,43.08,3.1471,4.2308
,,25,2.0288,3.0158,1.5841,20.35,43.07,3.1481,4.2384
,,26,2.0206,3.0129,1.5845,20.35,43.07,3.1442,4.2225
,,27,2.0151,3.008,1.5871,20.38,43.09,3.1581,4.2272
,,28,2.0188,2.9968,1.5872,20.38,43.07,3.1633,4.2286
,,29,2.0168,2.9792,1.5869,20.37,43.07,3.1646,4.2267
,Oct,2,2.0126,2.9717,1.5887,20.39,43.07,3.1755,4.2247
,,3,2.0182,2.9868,1.5829,20.31,42.94,3.1718,4.2115
,,4,2.0147,2.986,1.5834,20.32,42.93,3.1681,4.2129
,,5,2.0117,2.9875,1.5843,20.33,42.93,3.1664,4.213
,,6,2.0117,2.9762,1.5858,20.37,42.98,3.171,4.2114
,,9,2.0031,2.973,1.5894,20.41,43.04,3.1709,4.2288
,,10,1.9998,2.9635,1.5884,20.39,43.02,3.1686,4.2307
,,11,1.9915,2.9454,1.5879,20.37,42.95,3.1726,4.2384
,,12,1.9896,2.9474,1.5872,20.37,42.97,3.1738,4.2297
,,13,1.9904,2.9478,1.5832,20.33,43,3.1664,4.2292
,,16,1.9822,2.9401,1.5854,20.36,43.01,3.1702,4.2294
,,17,1.9839,2.9477,1.5823,20.33,43.01,3.1671,4.2307
,,18,1.9786,2.9513,1.5772,20.26,42.95,3.1582,4.2233
,,19,1.9753,2.9434,1.5752,20.23,42.92,3.1488,4.218
,,20,1.9869,2.9514,1.5723,20.19,42.77,3.1399,4.2198
,,23,1.9847,2.9611,1.5733,20.21,42.79,3.1375,4.2231
,,25,1.9765,2.9476,1.5723,20.2,42.77,3.144,4.2346
