MAS: Financial Database - Exchange Rates,,,,,https://secure.mas.gov.sg/msb/ExchangeRates.aspx,,,,
,,,,,,,,,
Exchange Rates (Daily),,,,,,,,,
Jan 1988 to May 2014,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
End of Period,,,S$ Per Unit of Euro,S$ Per Unit of Pound Sterling,S$ Per Unit of US Dollar,S$ Per 100 Units of Hong Kong Dollar,S$ Per 100 Units of Malaysian Ringgit,S$ Per 100 Units of Philippine Peso,S$ Per 100 Units of Thai Baht
,Jul,3,,3.1107,1.6166,20.91,64.61,,
,,10,,3.0686,1.6159,20.89,64.61,,
,,17,,3.1224,1.6106,20.83,64.48,,
,,24,,3.0929,1.6151,20.88,64.57,,
,,31,,3.1075,1.6126,20.85,64.44,,
,Aug,7,,3.0793,1.6111,20.83,64.41,,
,,14,,3.1094,1.6096,20.82,64.41,,
,,21,,3.1073,1.6092,20.81,64.44,,
,,28,,3.1703,1.5996,20.69,64.14,,
,Sep,4,,3.1689,1.5968,20.66,63.99,,
,,11,,3.0889,1.5966,20.65,63.9,,
,,18,,2.8419,1.6025,20.73,63.78,,
,,25,,2.7358,1.602,20.73,63.82,,
,Oct,2,,2.7733,1.5916,20.6,63.73,,
,,9,,2.7223,1.6052,20.76,63.98,,
,,16,,2.7179,1.6068,20.79,64.2,,
,,23,,2.6494,1.6136,20.88,64.48,,
,,30,,2.5163,1.6187,20.94,64.5,,
,Nov,6,,2.5024,1.6295,21.07,64.76,,
,,13,,2.4947,1.6343,21.14,64.76,,
,,20,,2.5066,1.634,21.12,64.76,,
,,27,,2.4778,1.6348,21.14,64.58,,
,Dec,4,,2.567,1.6413,21.19,64.67,,
,,11,,2.5498,1.6384,21.16,64.43,,
,,18,,2.5835,1.6392,21.19,63.52,,
,,24,,2.5051,1.6389,21.17,63.03,,
,,31,,2.4867,1.6449,21.25,63.06,,
,,,,,,,,,
"* Yearly, monthly and weekly figures are end period values.",,,,,,,,,
